Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),ProfitFactor,Year,Duration,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Ghanchakkar,Normal,No,No,comedy,No,No,No,Emraan Hashmi,Raj Kumar Gupta,Amit Trivedi,1450,290000000,449915000,1.551431034,2013,137,5.8,4797,Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma
Fan,Holiday,No,No,thriller,No,No,No,Shahrukh Khan,Maneesh Sharma,Vishal - Shekhar,3450,1200000000,1849330000,1.541108333,2016,142,7,43273,Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Shriya Pilgaonkar
Tubelight,Holiday,Yes,No,drama,No,No,No,Salman Khan,Kabir Khan,Pritam,4400,1350000000,2079900000,1.540666667,2017,136,3.8,17774,Kabir Khan,Salman Khan,Sohail Khan,Om Puri
Khiladi 786,Normal,No,Yes,comedy,No,Yes,No,Akshay Kumar,Ashish R. Mohan,Himesh Reshammiya,2750,630000000,970540000,1.540539683,2012,141,4.3,6582,Ashish R. Mohan,Akshay Kumar,Asin Thottumkal,Himesh Reshammiya
Shaadi Se Pehle,Normal,No,No,rom__com,No,No,No,Akshaye Khanna,Satish Kaushik,Himesh Reshammiya,350,110000000,168865000,1.535136364,2006,122,4.1,737,Satish Kaushik,Akshaye Khanna,Ayesha Takia,Mallika Sherawat
Mom,Normal,No,No,drama,No,Yes,No,Sridevi,Ravi Udyawar,A.R. Rehman,1200,370000000,565740000,1.529027027,2017,146,7.3,9395,Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna
Chalo Dilli,Holiday,No,No,comedy,No,No,Yes,Vinay Pathak,Shashant Shah,Rohit Kulkarni,725,95000000,145132500,1.527710526,2011,155,6.8,3081,Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta
Baabul,Normal,No,No,drama,No,No,No,Salman Khan,Ravi Chopra,Aadesh Shrivastava,675,260000000,395745000,1.522096154,2006,169,5.4,3157,Ravi Chopra,Amitabh Bachchan,Salman Khan,Hema Malini
Shanghai,Normal,No,No,thriller,No,No,Yes,Emraan Hashmi,Dibakar Banerjee,Vishal - Shekhar,975,230000000,349650000,1.520217391,2012,120,7.2,9804,Dibakar Banerjee,Emraan Hashmi,Abhay Deol,Prasenjit Chatterjee
Saheb Biwi Aur Gangster Returns,Holiday,No,Yes,thriller,No,No,No,Mahie Gill,Tigmanshu Dhulia,Sandeep Chowta,1350,190000000,288013750,1.515861842,2013,142,6.8,3857,Tigmanshu Dhulia,Jimmy Sheirgill,Mahie Gill,Irrfan Khan
Welcome to Sajjanpur,Normal,No,No,drama,No,No,No,Shreyas Talpade,Shyam Benegal,Shantanu Moitra,450,90000000,136000000,1.511111111,2008,133,6.9,3096,Shyam Benegal,Shreyas Talpade,Amrita Rao,Ravi Kishan
Black Friday,Holiday,No,No,drama,No,Yes,Yes,Kay Kay Menon,Anurag Kashyap,Indian Ocean,160,45000000,67840000,1.507555556,2004,143,8.5,19493,Anurag Kashyap,Kay Kay Menon,Pawan Malhotra,Aditya Srivastav
Matru Ki Bijlee Ka Mandola,Holiday,No,No,drama,No,No,No,Imran Khan,Vishal Bhardwaj,Vishal Bhardwaj,1850,410000000,617615000,1.506378049,2013,151,5.6,6035,Vishal Bhardwaj,Pankaj Kapur,Imran Khan,Anushka Sharma
Jai Gangaajal,Holiday,No,Yes,drama,No,No,No,Priyanka Chopra,Prakash Jha,Salim - Sulaiman,2500,330000000,495925000,1.50280303,2016,149,5.6,2455,Prakash Jha,Priyanka Chopra Jonas,Prakash Jha,Manav Kaul
Shaadi Mein Zaroor Aana,Normal,No,No,rom__com,No,Yes,No,Rajkummar Rao,Ratna Sinha,Arko Pravo Mukherjee,975,130000000,194700000,1.497692308,2017,137,7.6,13387,Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina
Half Girlfriend,Normal,No,No,love_story,No,No,No,Arjun Kapoor,Mohit Suri,Rishi Rich,2400,580000000,864755000,1.490956897,2017,135,4.4,6621,Mohit Suri,Seema Biswas,Shraddha Kapoor,Vikrant Massey
Desi Boyz,Normal,No,No,drama,No,Yes,No,Akshay Kumar,Rohit Dhawan,Pritam,2100,540000000,804360000,1.489555556,2011,122,5.7,13203,Rohit Dhawan,Akshay Kumar,John Abraham,Deepika Padukone
Sunday,Holiday,Yes,No,comedy,No,No,No,Ajay Devgn,Rohit Shetty,Raghav Sachar,900,220000000,319615000,1.452795455,2008,135,5.3,2619,Rohit Shetty,Ajay Devgn,Ayesha Takia,Arshad Warsi
Lootera,Normal,No,No,love_story,No,No,No,Ranveer Singh,Vikramaditya Motwane,Amit Trivedi,1050,320000000,464065000,1.450203125,2013,136,7.3,14888,Vikramaditya Motwane,Ranveer Singh,Sonakshi Sinha,Barun Chanda
Angoor,Holiday,No,No,adult,No,No,No,Sapna,Kanti Shah,Sawan Kumar Sawan,5,2500000,3600000,1.44,2005,106,6.1,53,Kanti Shah,Sapna Sappu,Rajesh Sabharwal,Amit Pachori
Mumbai Meri Jaan,Holiday,No,No,drama,No,Yes,Yes,Kay Kay Menon,Nishikant Kamat,Samir Phatarpekar,175,35000000,50220000,1.434857143,2008,134,7.7,6034,Nishikant Kamat,Paresh Rawal,Kay Kay Menon,Irrfan Khan
Pyare Mohan,Holiday,No,No,comedy,No,No,No,Vivek Oberoi,Indra Kumar,Anu Malik,400,130000000,186100000,1.431538462,2006,130,3.3,827,Ravinddra Khare,Indra Kumar,Fardeen Khan,Vivek Oberoi
Kismat Konnection,Normal,Yes,No,rom__com,No,No,No,Shahid Kapoor,Aziz Mirza,Sajid - Wajid,850,270000000,385847500,1.429064815,2008,153,5.2,5334,Aziz Mirza,Shahid Kapoor,Vidya Balan,Vishal Malhotra
Aaja Nachle,Normal,No,No,drama,No,Yes,No,Madhuri Dixit,Anil Mehta,Salim - Sulaiman,600,200000000,284400000,1.422,2007,137,6.2,2998,Anil Mehta,Madhuri Dixit,Darshan Jariwala,Raghuvir Yadav
Bhoothnath Returns,Holiday,No,Yes,drama,No,No,No,Amitabh Bachchan,Nitish Tiwari,Honey Singh,1500,360000000,510870000,1.419083333,2014,155,6.6,5030,Nitesh Tiwari,Amitabh Bachchan,Boman Irani,Parth Bhalerao
Aisha,Normal,No,No,rom__com,No,Yes,No,Sonam Kapoor,Rajshree Ojha,Amit Trivedi,625,180000000,255262500,1.418125,2010,126,5,3953,Rajshree Ojha,Sonam Kapoor,Abhay Deol,Amrita Puri
Heroes,Normal,No,No,drama,No,No,No,Sohail Khan,Samir Karnik,Sajid - Wajid,725,180000000,254400000,1.413333333,2008,139,5.5,2059,Samir Karnik,Sohail Khan,Vatsal Sheth,Amrita Arora
Karthik Calling Karthik,Holiday,No,No,thriller,No,Yes,No,Farhan Akhtar,Vijay Lalwani,Shankar - Ehsaan - Loy,850,200000000,282200000,1.411,2010,135,7.1,11005,Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor
We Are Family,Holiday,Yes,No,drama,No,Yes,No,Kajol,Siddharth Malhotra,Shankar - Ehsaan - Loy,900,300000000,420490000,1.401633333,2010,115,5.6,2975,Siddharth Malhotra,Kareena Kapoor,Kajol,Arjun Rampal
Dil Toh Baccha Hai Ji,Normal,No,No,comedy,No,No,No,Ajay Devgn,Madhur Bhandarkar,Pritam,1350,290000000,404600000,1.395172414,2011,143,5.8,3723,Madhur Bhandarkar,Ajay Devgn,Emraan Hashmi,Omi Vaidya
Force,Holiday,No,No,action,No,No,No,John Abraham,Nishikant Kamat,Harris Jayraj,1450,280000000,390320000,1.394,2011,137,6.5,7301,Nishikant Kamat,John Abraham,Genelia D'Souza,Vidyut Jammwal
Ok Jaanu,Holiday,Yes,No,drama,No,No,No,Aditya Roy Kapoor,Shaad Ali,A.R. Rehman,1400,270000000,375020000,1.388962963,2017,135,5.2,3883,Shaad Ali,Aditya Roy Kapoor,Shraddha Kapoor,Naseeruddin Shah
Naina,Holiday,No,No,horror,No,Yes,No,Urmila Matondkar,Shripal Morakhia,Salim - Sulaiman,175,50000000,69400000,1.388,2005,104,4.3,773,Shripal Morakhia,Urmila Matondkar,Anuj Sawhney,Malavikka
Mubarakan,Normal,No,No,comedy,No,No,No,Arjun Kapoor,Anees Bazmee,Rishi Rich,2300,650000000,899330000,1.383584615,2017,156,5.5,3629,Anees Bazmee,Anil Kapoor,Arjun Kapoor,Ileana D'Cruz
Nishabd,Holiday,No,No,drama,No,No,No,Amitabh Bachchan,Ram Gopal Verma,Vishal Bhardwaj,400,85000000,117120000,1.377882353,2007,110,5.4,1622,Ram Gopal Varma,Amitabh Bachchan,Jiah Khan,Revathi
Ek Khiladi Ek Haseena,Normal,No,No,thriller,No,Yes,No,Fardeen Khan,Suparn Verma,Pritam,300,57500000,78866250,1.371586957,2005,143,5.7,595,Suparn Varma,Fardeen Khan,Koena Mitra,Kay Kay Menon
Shaadi No. 1,Holiday,No,No,comedy,No,No,No,Fardeen Khan,David Dhawan,Anu Malik,425,150000000,204932500,1.366216667,2005,129,3.5,892,David Dhawan,Fardeen Khan,Zayed Khan,Sharman Joshi
De Dana Dan,Holiday,No,No,comedy,No,No,No,Akshay Kumar,Priyadarshan,Pritam,1550,600000000,818520000,1.3642,2009,162,5.5,7758,Priyadarshan,Akshay Kumar,Sunil Shetty,Katrina Kaif
Alone,Normal,No,No,horror,Yes,No,No,Karan Grover,Bhushan Patel,Mithoon,1600,190000000,258450000,1.360263158,2015,133,3.7,1622,Bhushan Patel,Bipasha Basu,Karan Singh Grover,Sulabha Arya
Zinda,Holiday,No,No,thriller,No,No,Yes,Sanjay Dutt,Sanjay Gupta,Kinky Ronald,400,130000000,176802500,1.360019231,2006,116,4.9,3314,Sanjay Gupta,Sanjay Dutt,John Abraham,Lara Dutta
Humshakals,Normal,No,No,comedy,No,No,No,Saif Ali Khan,Sajid Khan,Himesh Reshammiya,2800,640000000,870200000,1.3596875,2014,159,1.8,7840,Sajid Khan,Saif Ali Khan,Riteish Deshmukh,Ram Kapoor
Mere Dad Ki Maruti,Normal,No,No,comedy,No,Yes,No,Saqib Saleem,Ashima Chibber,Sachin Gupta,825,110000000,149400000,1.358181818,2013,101,6.4,4535,Ashima Chibber,Saqib Saleem,Rhea Chakraborty,Ram Kapoor
Karam,Normal,No,No,thriller,No,Yes,No,John Abraham,Sanjay F. Gupta,Vishal - Shekhar,225,57500000,77625000,1.35,2005,117,5.5,1324,Sanjay F. Gupta,John Abraham,Priyanka Chopra Jonas,Bharat Dabholkar
Phata Poster Nikhla Hero,Normal,No,No,comedy,No,No,No,Shahid Kapoor,Rajkumar Santoshi,Pritam,1900,470000000,633060000,1.34693617,2013,146,4.8,4492,Rajkumar Santoshi,Shahid Kapoor,Ileana D'Cruz,Padmini Kolhapure
Yeh Saali Zindagi,Normal,No,No,thriller,No,No,Yes,Irrfan Khan,Sudhir Mishra,Nishat Khan,650,110000000,148100000,1.346363636,2011,130,7.5,4489,Sudhir Mishra,Irrfan Khan,Chitrangda Singh,Arunoday Singh
Hero,Normal,No,No,love_story,Yes,No,Yes,Sooraj Pancholi,Nikhil Advani,Jassi Katyal,2100,360000000,481812500,1.338368056,2015,145,3.5,2398,Nikkhil Advani,Sooraj Pancholi,Athiya Shetty,Tigmanshu Dhulia
Katti Batti,Normal,No,No,rom__com,No,No,No,Imran Khan,Nikhil Advani,Shankar - Ehsaan - Loy,1250,320000000,426425000,1.332578125,2015,135,4.9,2856,Nikkhil Advani,Imran Khan,Kangana Ranaut,Suhaas Ahuja
Filmistaan,Normal,No,No,comedy,Yes,Yes,Yes,Shaarib Hashmi,Nitin Kakkar,Arijit Datta,450,75000000,99940000,1.332533333,2012,117,7.3,3371,Nitin Kakkar,Sharib Hashmi,Inaamulhaq,Kumud Mishra
Deewane Huye Paagal,Normal,No,No,comedy,No,No,No,Akshay Kumar,Vikram Bhatt,Anu Malik,500,200000000,265825000,1.329125,2005,158,5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
Teri Meri Kahaani,Normal,No,No,love_story,No,No,No,Shahid Kapoor,Kunal Kohli,Sajid - Wajid,1450,410000000,544800000,1.328780488,2012,117,4.7,3873,Kunal Kohli,Shahid Kapoor,Priyanka Chopra Jonas,Prachi Desai
Kambakkht Ishq,Normal,No,No,rom__com,No,Yes,No,Akshay Kumar,Sabbir Khan,Anu Malik,1500,650000000,855630000,1.316353846,2009,142,3.9,6741,Sabir Khan,Sylvester Stallone,Denise Richards,Brandon Routh
Bheja Fry 2,Normal,No,Yes,comedy,No,No,No,Vinay Pathak,Sagar Ballary,Sneha Khanwalkar,575,95000000,124900000,1.314736842,2011,129,4.7,1302,Sagar Ballary,Vinay Pathak,Kay Kay Menon,Minissha Lamba
D,Normal,No,No,action,Yes,Yes,No,Randeep Hooda,Vishram Sawant,Nitin Raikwar,250,65000000,84961000,1.307092308,2005,107,6.8,1188,Vishram Sawant,Randeep Hooda,Chunky Panday,Rukhsar Rehman
Kill Dil,Normal,No,No,thriller,No,No,No,Ranveer Singh,Shaad Ali,Shankar - Ehsaan - Loy,2300,400000000,521000000,1.3025,2014,127,4.3,3927,Shaad Ali,Ranveer Singh,Ali Zafar,Parineeti Chopra
Blood Money,Holiday,No,No,thriller,No,Yes,Yes,Kunal Khemu,Vishal Mahadkar,Pranay Rijia,1150,90000000,116800000,1.297777778,2012,109,5,981,Vishal Mahadkar,Manish Chaudhary,Kunal Khemu,Amrita Puri
Hamari Adhuri Kahani,Normal,No,No,love_story,No,No,No,Emraan Hashmi,Mohit Suri,Mithoon,1750,400000000,518720000,1.2968,2015,129,6.7,5546,Mohit Suri,Rajkummar Rao,Emraan Hashmi,Vidya Balan
Break Ke Baad,Normal,No,No,rom__com,No,Yes,No,Imran Khan,Danish Aslam,Vishal - Shekhar,875,220000000,284100000,1.291363636,2010,118,5.2,4033,Danish Aslam,Deepika Padukone,Shahana Goswami,Sharmila Tagore
Force 2,Normal,No,Yes,action,No,No,No,John Abraham,Abhinay Deo,Amal Malik,2250,410000000,526062500,1.283079268,2016,127,6.2,5048,Abhinay Deo,John Abraham,Sonakshi Sinha,Tahir Raj Bhasin
Ugly,Normal,No,No,drama,No,No,No,Ronit Roy,Anurag Kashyap,G.V. Prakash Kumar,350,65000000,83400000,1.283076923,2013,128,8,20709,Anurag Kashyap,Rahul Bhatt,Ronit Roy,Tejaswini Kolhapure
Hello,Normal,No,No,love_story,No,No,No,Sohail Khan,Atul Agnihotri,Sajid - Wajid,650,140000000,179600000,1.282857143,2008,129,3.3,1981,Atul Agnihotri,Sharman Joshi,Amrita Arora,Sohail Khan
Kyaa Kool Hain Hum 3,Normal,No,Yes,comedy,No,Yes,No,Tusshar Kapoor,Umesh Ghadge,Sajid - Wajid,2050,260000000,331425000,1.274711538,2016,124,1.9,4165,Umesh Ghadge,Tusshar Kapoor,Aftab Shivdasani,Krishna Abhishek
Dor,Normal,Yes,No,drama,No,No,No,Ayesha Takia,Nagesh Kukunoor,Salim - Sulaiman,100,30000000,38100000,1.27,2006,147,7.9,5785,Nagesh Kukunoor,Ayesha Takia,Shreyas Talpade,Gul Panag
Babumoshai Bandookbaaz,Holiday,No,No,drama,No,No,No,Nawazuddin Siddiqui,Kushan Nandy,Gaurav Dagaonkar,950,100000000,126200000,1.262,2017,122,6.9,1974,Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami
Azhar,Normal,No,No,drama,No,No,No,Emraan Hashmi,Anthony D'Souza,Amal Malik,2100,400000000,499390000,1.248475,2016,130,5.7,5328,Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai
Satyagraha,Normal,No,No,drama,No,No,No,Ajay Devgn,Prakash Jha,Salim - Sulaiman,2650,730000000,910075000,1.246678082,2013,152,5.9,4964,Prakash Jha,Amitabh Bachchan,Kareena Kapoor,Ajay Devgn
Raag Desh,Normal,No,No,drama,No,No,Yes,Kunal Kapoor,Tigmanshu Dhulia,Rana Mazumder,625,9500000,11800000,1.242105263,2017,135,8.1,376,Tigmanshu Dhulia,Kunal Kapoor,Amit Sadh,Mohit Marwah
Jab Harry Met Sejal,Holiday,No,No,rom__com,No,No,No,Shahrukh Khan,Imtiaz Ali,Pritam,3200,1190000000,1477580000,1.241663866,2017,143,5.3,19349,Imtiaz Ali,Shah Rukh Khan,Anushka Sharma,Bj�rn Freiberg
Paathshaala,Normal,No,No,drama,No,No,Yes,Shahid Kapoor,Milind Ukey,Hanif Sheikh,500,140000000,171967500,1.228339286,2010,122,4.9,1660,Milind Ukey,Adil Feroz Khan,Nana Patekar,Shahid Kapoor
Aarakshan,Holiday,No,No,drama,No,No,No,Saif Ali Khan,Prakash Jha,Shankar - Ehsaan - Loy,1500,530000000,645292500,1.217533019,2011,164,6.2,5170,Prakash Jha,Amitabh Bachchan,Saif Ali Khan,Manoj Bajpayee
Agent Vinod,Holiday,No,No,thriller,No,No,No,Saif Ali Khan,Sriram Raghavan,Pritam,2200,600000000,730050000,1.21675,2012,157,5.2,7210,Sriram Raghavan,Kareena Kapoor,Saif Ali Khan,Rajat Kapoor
Salaam-E-Ishq,Holiday,Yes,No,love_story,No,No,No,Salman Khan,Nikhil Advani,Shankar - Ehsaan - Loy,900,430000000,522400000,1.214883721,2007,216,5.1,5260,Nikkhil Advani,Salman Khan,Priyanka Chopra Jonas,Anil Kapoor
Boss,Holiday,No,No,action,No,No,No,Akshay Kumar,Anthony D'Souza,Meet Bros,2800,700000000,848280000,1.211828571,2013,143,5.1,10583,Anthony D'Souza,Akshay Kumar,Shiv Panditt,Mithun Chakraborty
Shivaay,Holiday,No,No,thriller,No,No,Yes,Ajay Devgn,Ajay Devgn,Jasleen Royal,2950,1030000000,1241455000,1.205296117,2016,153,6.2,9909,Ajay Devgn,Ajay Devgn,Abigail Eames,Erika Kaar
Tere Bin Laden,Normal,No,No,comedy,Yes,Yes,No,Ali Zafar,Abhishek Sharma,Shankar - Ehsaan - Loy,375,95000000,114310000,1.203263158,2010,95,7.2,10234,Abhishek Sharma,Ali Zafar,Pradhuman Singh,Piyush Mishra
7 Khoon Maaf,Holiday,No,No,thriller,No,No,No,Priyanka Chopra,Vishal Bhardwaj,Vishal Bhardwaj,975,250000000,300700000,1.2028,2011,137,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
Luck By Chance,Holiday,No,No,drama,No,Yes,No,Farhan Akhtar,Zoya Akhtar,Shankar - Ehsaan - Loy,600,180000000,216075000,1.200416667,2009,156,7.1,9678,Zoya Akhtar,Farhan Akhtar,Konkona Sen Sharma,Rishi Kapoor
Buddha Mar Gaya,Holiday,No,No,comedy,No,No,No,Paresh Rawal,Rahul Rawail,Bappi Lahiri,285,37500000,45000000,1.2,2007,93,2.6,356,Rahul Rawail,Mona Ambegaonkar,Jitender Bhargava,Birbal
Raaz Reboot,Normal,No,Yes,horror,No,No,No,Emraan Hashmi,Vikram Bhatt,Sangeet - Siddharth,1700,310000000,369650000,1.192419355,2016,128,4.4,1784,Vikram Bhatt,Emraan Hashmi,Kriti Kharbanda,Suzanna Mukherjee
Vaada,Normal,Yes,No,thriller,No,No,No,Arjun Rampal,Satish Kaushik,Himesh Reshammiya,285,80000000,95300000,1.19125,2005,122,5.6,826,Satish Kaushik,Arjun Rampal,Zayed Khan,Ameesha Patel
Saawan... The Love Season,Normal,No,No,love_story,No,No,No,Salman Khan,Saawan Kumar Tak,Aadesh Shrivastava,275,50000000,59168750,1.183375,2006,123,2.8,1177,Saawan Kumar Tak,Salman Khan,Saloni Aswani,Kapil Jhaveri
Baar Baar Dekho,Normal,No,No,drama,No,Yes,Yes,Sidharth Malhotra,Nitya Mehra,Bilal Saeed,1950,530000000,626710000,1.182471698,2016,141,5.3,6423,Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta
Chase,Holiday,No,No,action,No,No,Yes,Anuj Saxena,Jag Mundhra,Udhav Ohja,175,4250000,5000000,1.176470588,2010,103,4.9,87,Jag Mundhra,Anuj Saxena,Udita Goswami,Tarina Patel
Phantom,Holiday,No,No,action,No,No,No,Saif Ali Khan,Kabir Khan,Pritam,2600,720000000,844400000,1.172777778,2015,136,5.9,8714,Kabir Khan,Saif Ali Khan,Katrina Kaif,Sabyasachi Chakrabarty
Sanam Re,Holiday,No,No,love_story,No,No,No,Pulkit Samrat,Divya Khosla,Amal Malik,2000,270000000,314550000,1.165,2016,120,3.2,2936,Divya Khosla Kumar,Rishi Kapoor,Pulkit Samrat,Yami Gautam
Thank You,Normal,No,No,comedy,No,No,No,Akshay Kumar,Anees Bazmee,Pritam,1800,610000000,710232500,1.164315574,2011,125,4.7,5433,Anees Bazmee,Akshay Kumar,Sonam Kapoor,Bobby Deol
Commando 2,Normal,No,Yes,action,No,Yes,No,Vidyut Jammwal,Deven Bhojani,Gourav - Roshin,2200,260000000,300300000,1.155,2017,144,5.3,3015,Deven Bhojani,Vidyut Jammwal,Adah Sharma,Esha Gupta
Phoonk 2,Normal,No,Yes,horror,No,Yes,Yes,Sudeep,Milind Gadagkar,Dharam - Sandeep,675,80000000,92400000,1.155,2010,110,3.2,488,Milind Gadagkar,Sudeep,Amruta Khanvilkar,Ahsaas Channa
Mumbai Xpress,Holiday,No,No,comedy,No,Yes,No,Kamal Hassan,Singeetam Srinivasa Rao,Ilaiyaraja,150,45000000,51750000,1.15,2005,146,6.6,68,Singeetam Srinivasa Rao,Kamal Haasan,Manisha Koirala,Om Puri
Kidnap,Holiday,No,No,thriller,No,No,No,Imran Khan,Sanjay Gadhvi,Pritam,875,310000000,356060000,1.148580645,2008,135,4.6,2328,Sanjay Gadhvi,Sanjay Dutt,Imran Khan,Minissha Lamba
Besharam,Holiday,No,No,comedy,No,No,No,Ranbir Kapoor,Abhinav Kashyap,Lalit Pandit,3400,830000000,951195000,1.146018072,2013,143,3.6,5355,Abhinav Kashyap,Ranbir Kapoor,Pallavi Sharda,Rishi Kapoor
Dhan Dhana Dhan Goal,Holiday,No,No,drama,No,No,No,John Abraham,Vivek Agnihotri,Pritam,650,190000000,217243750,1.143388158,2007,167,5,2410,Vivek Agnihotri,John Abraham,Arshad Warsi,Bipasha Basu
Margarita With A Straw,Normal,No,No,drama,No,No,No,Kalki Koechlin,Shonali Bose,Mikey McCleary,250,65000000,74300000,1.143076923,2014,100,7.2,3565,Shonali Bose,Nilesh Maniyar,Kalki Koechlin,Revathi
Nazar,Holiday,No,No,thriller,No,Yes,No,Ashmit Patel,Soni Razdan,Anu Malik,175,37500000,42379500,1.13012,2005,138,3.9,126,Soni Razdan,Meera,Ashmit Patel,Koel Purie
No Problem,Normal,No,No,comedy,No,No,No,Anil Kapoor,Anees Bazmee,Pritam,1350,400000000,450750000,1.126875,2010,139,4.3,2299,Anees Bazmee,Anil Kapoor,Sanjay Dutt,Akshaye Khanna
Shabd,Normal,No,No,drama,No,Yes,No,Sanjay Dutt,Leena Yadav,Vishal - Shekhar,250,95000000,107012500,1.126447368,2005,140,5.1,1359,Leena Yadav,Sanjay Dutt,Aishwarya Rai Bachchan,Zayed Khan
Baadshaho,Holiday,No,No,action,No,No,No,Ajay Devgn,Milan Luthria,Ankit Tiwari,2850,900000000,1011820000,1.124244444,2017,136,4.9,4454,Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi
Patiala House,Holiday,No,No,drama,No,No,No,Akshay Kumar,Nikhil Advani,Shankar - Ehsaan - Loy,1550,500000000,560405000,1.12081,2011,140,5.6,8780,Nikkhil Advani,Rishi Kapoor,Dimple Kapadia,Akshay Kumar
Roy,Holiday,No,No,thriller,No,Yes,No,Ranbir Kapoor,Vikramjit Singh,Ankit Tiwari,2350,500000000,560215000,1.12043,2015,146,3.3,7240,Vikramjit Singh,Arjun Rampal,Jacqueline Fernandez,Ranbir Kapoor
Khamoshiyan,Normal,No,No,horror,No,Yes,Yes,Ali Fazal,Karan Darra,Naveed Zafar,1500,120000000,134180000,1.118166667,2015,122,4,1220,Karan Darra,Gurmeet Choudhary,Ali Fazal,Sapna Pabbi
Naqaab,Holiday,No,No,thriller,No,No,No,Akshaye Khanna,Abbas - Mustan,Pritam,825,190000000,212037500,1.115986842,2007,115,5.4,1373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Bobby Deol,Akshaye Khanna
Ek Paheli Leela,Normal,No,No,love_story,No,Yes,Yes,Sunny Leone,Bobby Khan,Uzair Jaswal,2000,230000000,255620000,1.111391304,2015,145,3.7,1700,Bobby Khan,Sunny Leone,Rahul Dev,Mohit Ahlawat
Rascals,Holiday,No,No,comedy,No,No,No,Ajay Devgn,David Dhawan,Vishal - Shekhar,1850,460000000,510181250,1.109089674,2011,128,2.9,2682,David Dhawan,Ajay Devgn,Sanjay Dutt,Kangana Ranaut
Jattu Engineer,Normal,No,No,drama,No,No,No,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,Gurmeet Ram Rahim Singh,200,90000000,99724500,1.10805,2017,139,5.8,3336,Honeypreet Insan,Gurmeet Ram Rahim Singh,Muntazir Ahmad,Amardeep Insan
Dedh Ishqiya,Normal,No,Yes,rom__com,No,No,No,Naseeruddin Shah,Abhishek Chaubey,Vishal Bhardwaj,1250,370000000,408370000,1.103702703,2014,152,7.1,6978,Abhishek Chaubey,Madhuri Dixit,Naseeruddin Shah,Arshad Warsi
Brothers,Holiday,Yes,No,action,No,No,No,Akshay Kumar,Karan Malhotra,Ajay - Atul,3400,1120000000,1230950000,1.0990625,2015,156,6.5,12018,Karan Malhotra,Akshay Kumar,Sidharth Malhotra,Jackie Shroff
Shaandaar,Holiday,No,No,rom__com,No,No,No,Shahid Kapoor,Vikas Bahl,Amit Trivedi,2500,690000000,757000000,1.097101449,2015,144,3.5,5250,Vikas Bahl,Shahid Kapoor,Alia Bhatt,Pankaj Kapur
Mausam,Normal,No,No,love_story,No,Yes,No,Shahid Kapoor,Pankaj Kapoor,Pritam,1750,490000000,536765000,1.095438776,2011,161,4.7,5258,Pankaj Kapur,Shahid Kapoor,Sonam Kapoor,Anupam Kher
De Taali,Normal,No,No,comedy,No,No,No,Riteish Deshmukh,E. Niwas,Vishal - Shekhar,475,120000000,131047500,1.0920625,2008,140,4.1,808,Eeshwar Nivas,Aftab Shivdasani,Riteish Deshmukh,Ayesha Takia
1920 London,Holiday,No,Yes,horror,No,Yes,No,Sharman Joshi,Tinu Suresh Desai,Toshi - Sharib,1300,210000000,226782500,1.079916667,2016,120,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
Dil Dosti Etc,Normal,No,No,drama,Yes,Yes,Yes,Imaad Shah,Manish Tiwary,Agnee,135,35000000,37400000,1.068571429,2007,112,7,2793,Manish Tiwary,Imaaduddin Shah,Shreyas Talpade,Smriti Mishra
Inkaar,Holiday,No,No,drama,No,No,No,Arjun Rampal,Sudhir Mishra,Shantanu Moitra,800,140000000,149350000,1.066785714,2013,125,6,2491,Sudhir Mishra,Arjun Rampal,Chitrangda Singh,Vipin Sharma
Fool N Final,Normal,No,No,comedy,No,No,No,Sunny Deol,Ahmed Khan,Himesh Reshammiya,850,260000000,276200000,1.062307692,2007,144,3.4,1906,Ahmed Khan,Sunny Deol,Shahid Kapoor,Vivek Oberoi
London Paris New York,Normal,No,No,love_story,No,Yes,Yes,Ali Zafar,Anu Menon,Ali Zafar,550,105000000,111517500,1.062071429,2012,100,5.7,3677,Anu Menon,Ali Zafar,Aditi Rao Hydari,Candice Pereira
